"subject" "mrt_neutral" "sd_neutral" "alerting_mrt" "orienting_mrt" "sustained_mrt" "tau" "vis_mem_cap" "vis_mem_rate" "vis_mem_enc" "vis_mem_ret" "vis_mem_cons" "ver_mem_cap" "ver_mem_rate" "ver_mem_enc" "ver_mem_ret" "ver_mem_cons" "visuom_fixed_m" "visuom_fixed_sd" "visuom_random_d" "visuom_speed_d" "vis_wm_enc" "vis_wm_ce" "ver_wm_enc" "ver_wm_ce" "exec_mrt" "exec_acc" "motor_response" "age"
"2" 200002 -397.140845070423 -45.266290129994 15.6672032193159 27.2404572361707 12.4402173913044 -19 -6.7 6.7 -6.7 0 8 11 3 64 0 -1 -34 -22 -28 -104.865853184337 88 -0.386363636363636 35 -11 -67.2148692810458 -5.55555555555556 -266 24
"3" 200003 -373.157142857143 -43.7981654417882 10.7424369747899 21.1993788819876 13.3478260869565 -93 -11.2 11.2 -17.2 -1 10 9 6 65 0 0 -50 -33 -29 -146.063563396461 140 -0.1 96 -8 -31.4561698549506 -5.55555555555556 -255 25
"4" 200004 -457.450704225352 -99.4174156534521 11.8169014084507 28.0422535211268 -10.2971014492754 -101 -8.7 8.7 -10.7 0 9 5 3 41 1 -6 -37 -29 -29 -109.974986945481 82.5 -0.345454545454545 60 -12 -137.978174603175 -2.77777777777779 -239 18
"5" 200005 -445.619718309859 -65.1057088120506 36.8943661971831 65.1497514498757 17.9148550724638 -57 -23.9 12.9 -58.9 4 -4 6 8 57 0 -1 -34 -22 -34 -100.529544624066 65 0.384615384615385 77 -57 -107.985915492958 -5.55555555555556 -258 23
"6" 200006 -402.718309859155 -41.6708816110899 21.9268388106416 20.2953834115806 38.3840579710145 -42 -13.4 13.4 -33.7 -1 8 8 5 53 -3 -2 -68 -61 -8 -166.092510968375 90 0.227777777777778 108 -68 -76.2345461658842 -1.38888888888889 -289 22
"7" 200007 -447.125 -76.180093791888 23.5694444444444 64.8888888888889 66.2916666666666 -52 -9.2 4.7 -19.4 0.0278640450000003 2.5 8 7 63 -2 1 -49 -38 -29 -126.504809184998 96 -0.197916666666667 77 -29 -106.319444444444 0 -284 28
"8" 200008 -474.757142857143 -54.9683534024478 7.22222222222217 49.1805555555556 45.8863636363636 -45 -17.3 13.3 -35.7 -3.65685424949 3 8 5 51 0 -2 -39 -25 -29 -113.516019411557 70 0.457142857142857 60 -30 -80.8194444444445 0 -285 31
"9" 200009 -438.666666666667 -88.9777626911417 33.2753623188406 18.9420289855072 18.75 -49 -15 15 -17 0 10 7 8 59 -1 0 -44 -30 -33 -125.71333702792 225 -0.346666666666667 54 16 -45.2101841820152 -8.33333333333333 -289 23
"10" 200010 -528.157142857143 -86.9435325184737 46.1404538341159 17.2436507936508 67.2952898550725 -67 -22 15.1 -78.9 -8.3267727624 1.1 8 6 65 0 0 -47 -32 -40 -134.859276099842 54 -0.888888888888889 63 -39 -86.0985915492957 1.38888888888889 -298 26
"11" 200011 -427.239436619718 -63.9170142313414 58.4629778672032 36.5890062597809 -4.63043478260869 -47 -11.3 11.3 -20.7 -9 7 8 3 58 1 -4 -44 -30 -25 -111.107134449917 88 0.590909090909091 96 -42 -91.4929577464789 0 -276 19
"12" 200012 -376.323943661972 -37.9510115234617 18.7190923317684 35.7083333333333 19.5652173913044 -40 -9.1 5.1 -33.3 -2 4 10 3 58 -5 -1 -43 -28 -35 -125.927889599826 184 -0.277173913043478 54 -19 -55.7267214397496 -1.38888888888889 -254 32
