"subj";"age";"sex_male";"edu"
200002;24;0;7
200003;25;1;8
200004;18;1;6
200005;23;0;6
200006;22;0;7
200007;28;0;7
200008;31;0;7
200009;23;0;6
200010;26;1;6
200011;19;1;6
200012;32;1;6
200013;26;0;7
200014;20;1;6
200015;18;0;6
200016;34;0;6
200017;31;0;7
200018;19;1;6
200019;34;0;8
200020;25;1;7
200021;18;1;5
200022;27;0;6
200023;26;1;7
200024;25;1;6
200025;23;0;6
200026;19;1;6
200027;20;0;6
200028;18;1;6
200029;23;0;7
200030;24;0;7
200031;25;0;8
200032;23;1;6
200033;27;0;7
200034;24;0;6
200035;26;1;6
200036;25;0;8
200037;23;1;7
200038;23;1;6
200039;31;0;7
200040;31;1;8
200041;32;1;7
200042;28;0;6
200043;31;1;8
200044;28;1;6
200045;30;0;7
200046;34;0;8
200047;27;0;6
200048;34;1;7
200049;34;1;6
200050;24;1;6
200051;33;1;7
200052;33;1;7
200054;38;1;5
200055;43;0;6
200056;51;1;5
200057;42;1;5
200058;54;1;6
200059;30;1;7
200060;29;0;7
200061;54;1;7
200063;49;1;7
200071;30;0;6
200072;30;0;5
200073;51;1;5
200075;50;1;6
200076;28;0;7
220001;30;1;7
220002;18;0;5
220003;51;0;7
220004;42;0;7
220005;46;0;6
220006;31;0;7
220008;57;0;6
220010;27;0;7
220011;24;1;6
230001;27;1;6
230002;30;0;5
230003;24;0;7
230006;64;0;8
230007;60;1;6
230008;29;1;7
230009;49;0;5
230011;61;1;7
230012;53;1;5
230013;23;1;7
230014;52;0;6
230015;54;1;6
230016;28;0;7
230017;21;0;6
230019;31;0;5
230021;47;0;6
230022;21;0;6
230023;59;0;7
230024;37;0;8
230026;23;0;7
230028;60;1;6
230029;25;0;7
230030;49;1;6
230031;25;1;5
230032;23;0;7
230033;25;0;8
230034;29;0;6
